,X,Y,Z,Classification
67579,1175010.91,1883014.6600000001,593.47,2
67845,1175010.96,1883964.95,616.99,5
67943,1175010.98,1884142.9100000001,595.75,3
68261,1175011.05,1883988.99,593.79,1
68382,1175011.08,1884603.6600000001,591.8100000000001,2
68450,1175011.09,1883762.6500000001,620.49,5
68639,1175011.1300000001,1884287.22,592.08,2
68710,1175011.1400000001,1883229.9100000001,611.04,6
69386,1175011.27,1884752.06,624.48,5
69404,1175011.27,1884090.03,631.13,6
69524,1175011.29,1883849.42,594.44,3
70023,1175011.37,1884757.69,603.32,3
70859,1175011.5,1883655.55,601.96,3
71266,1175011.56,1884766.53,619.77,5
71775,1175011.6300000001,1882657.85,593.33,2
72192,1175011.7,1884622.27,630.4,5
72201,1175011.7,1884329.01,598.64,3
72499,1175011.74,1884027.84,593.6,3
72834,1175011.78,1883586.98,602.5,6
72965,1175011.8,1883977.45,599.08,3
73244,1175011.83,1883028.75,652.1,5
73424,1175011.86,1884916.52,621.8100000000001,5
73519,1175011.86,1882878.27,649.3000000000001,5
73595,1175011.87,1883487.2,605.35,6
73618,1175011.87,1882548.0,593.78,2
74022,1175011.92,1883778.69,607.51,4
74177,1175011.94,1884152.04,595.0600000000001,3
74795,1175012.02,1884884.1400000001,595.1800000000001,3
75148,1175012.06,1884772.21,610.14,4
75283,1175012.08,1883473.21,594.71,2
75304,1175012.08,1882938.99,628.45,5
75349,1175012.09,1883960.5,609.76,6
75667,1175012.1400000001,1883119.24,594.26,3
75773,1175012.16,1883020.22,656.96,5
75918,1175012.19,1883091.23,593.16,2
76300,1175012.26,1884179.69,597.94,3
76579,1175012.31,1884751.82,607.5500000000001,4
76729,1175012.33,1883057.61,659.67,5
76877,1175012.36,1884944.02,639.98,5
76935,1175012.37,1884941.8800000001,644.9300000000001,5
77017,1175012.3800000001,1884080.62,592.45,2
77235,1175012.42,1884909.23,596.28,3
77492,1175012.46,1884154.98,596.92,3
77789,1175012.5,1883754.85,612.6800000000001,4
77872,1175012.51,1882861.69,630.25,5
78088,1175012.55,1884916.8,604.6800000000001,4
78174,1175012.56,1884903.6300000001,619.26,5
78220,1175012.56,1883211.21,610.66,6
78259,1175012.57,1884232.29,602.85,3
78333,1175012.58,1883869.83,594.61,3
78370,1175012.59,1884903.73,597.11,3
78469,1175012.6,1883237.01,593.67,2
78636,1175012.6300000001,1883895.42,602.47,3
78799,1175012.6500000001,1882539.36,593.78,2
78995,1175012.69,1884899.34,600.67,3
79078,1175012.7,1884563.08,593.85,2
79466,1175012.76,1884101.87,602.37,3
79483,1175012.76,1883230.2,600.35,3
79997,1175012.84,1882924.58,650.09,5
80251,1175012.8800000001,1883043.24,662.0,5
80413,1175012.91,1884930.57,637.96,5
80442,1175012.91,1883431.68,603.83,6
80817,1175012.96,1883704.04,602.57,3
80977,1175012.98,1883357.99,605.47,6
81035,1175012.99,1884446.49,594.51,2
81327,1175013.02,1882876.74,653.0,5
81549,1175013.05,1882912.83,647.79,5
81651,1175013.07,1884622.36,631.5,5
82039,1175013.11,1883044.49,663.2,5
82099,1175013.12,1883666.98,599.83,3
82575,1175013.18,1882868.05,640.08,5
82841,1175013.22,1883950.7,592.6800000000001,2
83064,1175013.25,1883567.59,601.89,6
83299,1175013.28,1882907.79,593.38,2
83383,1175013.3,1884455.69,645.09,6
83782,1175013.37,1884868.6400000001,591.53,2
83911,1175013.3900000001,1884815.71,616.84,6
84151,1175013.42,1883018.27,608.28,4
84184,1175013.43,1884303.76,592.38,2
84291,1175013.45,1883924.84,604.8000000000001,4
84299,1175013.45,1883528.49,602.82,6
84397,1175013.47,1883509.97,594.32,2
85327,1175013.66,1884675.82,610.92,4
85346,1175013.66,1883754.22,593.25,2
85628,1175013.71,1884122.54,594.11,2
86156,1175013.79,1882701.1300000001,593.4300000000001,2
86280,1175013.82,1884946.1300000001,643.5500000000001,5
86358,1175013.83,1883314.08,603.59,6
86383,1175013.84,1884952.45,624.47,5
86661,1175013.87,1883070.56,656.19,5
86917,1175013.91,1884617.06,598.0500000000001,3
86936,1175013.91,1884124.48,593.2,7
86952,1175013.91,1883159.6500000001,622.27,6
87011,1175013.92,1883224.93,610.0500000000001,6
87158,1175013.94,1883188.69,613.09,4
87343,1175013.97,1884650.3800000001,595.86,3
87811,1175014.03,1882901.02,650.96,5
87950,1175014.05,1883047.3800000001,667.11,5
88032,1175014.06,1882914.99,593.46,2
88186,1175014.08,1882866.6500000001,637.65,5
88532,1175014.1300000001,1883515.57,602.97,6
88533,1175014.1300000001,1883231.86,595.2,3
88752,1175014.16,1882806.6,594.24,2
88774,1175014.17,1884695.8,621.26,5
89104,1175014.22,1884866.61,591.52,2
89158,1175014.22,1882791.46,594.14,2
89166,1175014.23,1884871.7,591.23,2
89265,1175014.24,1884695.34,611.19,4
89273,1175014.24,1884129.6,614.61,5
89420,1175014.26,1883437.47,603.7,6
89617,1175014.29,1883332.46,614.19,6
89619,1175014.29,1883278.06,596.45,3
89759,1175014.31,1883332.99,614.27,6
89819,1175014.32,1883186.04,608.99,4
90452,1175014.4000000001,1883742.51,597.49,3
90456,1175014.4000000001,1883658.02,594.16,3
90564,1175014.42,1884678.29,611.58,4
90577,1175014.42,1884617.43,591.99,2
90722,1175014.44,1883761.94,619.33,6
90872,1175014.46,1884123.43,611.54,4
90881,1175014.46,1883925.67,620.89,5
90941,1175014.47,1884608.82,607.16,4
91471,1175014.54,1884650.56,623.98,5
91652,1175014.56,1883910.49,623.22,5
91741,1175014.57,1883928.4100000001,626.75,5
91935,1175014.59,1882903.83,644.61,5
92255,1175014.6300000001,1883922.57,610.98,4
92575,1175014.67,1884484.12,642.63,6
92662,1175014.68,1884515.8800000001,619.8000000000001,6
92678,1175014.68,1883922.22,619.63,5
93409,1175014.78,1884089.4000000001,631.47,6
93660,1175014.81,1882506.37,652.27,5
93739,1175014.83,1884599.6600000001,593.62,3
94282,1175014.93,1884882.48,593.3000000000001,3
94321,1175014.93,1882863.59,628.0500000000001,5
94421,1175014.96,1884584.11,597.86,3
94556,1175014.98,1882953.03,618.76,5
94832,1175015.03,1883703.43,602.03,3
94884,1175015.04,1883019.18,625.61,5
94931,1175015.05,1883463.07,594.7,2
95007,1175015.06,1883453.09,593.78,2
95187,1175015.09,1883920.52,627.5600000000001,5
95499,1175015.1300000001,1883777.98,599.26,3
95525,1175015.1300000001,1882886.68,654.6,5
96058,1175015.19,1882692.48,593.35,2
96471,1175015.24,1883922.55,611.35,4
96640,1175015.26,1883977.85,598.96,3
96864,1175015.28,1883036.3800000001,593.2,2
96972,1175015.3,1884664.71,610.41,4
97054,1175015.31,1884991.3800000001,593.5500000000001,2
97092,1175015.31,1883947.77,592.73,2
97427,1175015.34,1882960.37,593.13,2
97536,1175015.35,1882872.8800000001,637.74,5
97596,1175015.36,1883917.29,616.73,5
97652,1175015.37,1884979.8,593.09,2
97732,1175015.37,1882631.07,593.4300000000001,2
97813,1175015.3800000001,1882914.02,633.15,5
98108,1175015.42,1884771.6600000001,620.94,5
98129,1175015.42,1884246.19,606.32,4
98422,1175015.45,1883210.54,609.8100000000001,6
98659,1175015.48,1884124.23,628.12,6
98724,1175015.49,1884502.95,620.07,6
98875,1175015.51,1883929.33,599.01,3
98936,1175015.52,1883569.27,592.66,2
99058,1175015.54,1884876.52,596.37,3
99566,1175015.61,1884651.86,598.79,3
99619,1175015.61,1882897.67,646.08,5
99837,1175015.6400000001,1883123.48,596.85,3
100011,1175015.67,1884856.42,591.54,2
100066,1175015.67,1882894.84,651.63,5
100219,1175015.7,1884772.1300000001,626.67,5
100947,1175015.81,1884656.26,616.71,5
100963,1175015.81,1883929.8,598.0,3
101982,1175015.94,1883702.11,598.5,3
102048,1175015.95,1884643.28,633.4300000000001,5
102423,1175016.0,1883060.08,662.6800000000001,5
103564,1175016.19,1884536.79,619.67,6
103679,1175016.21,1884251.1300000001,609.65,4
103836,1175016.24,1883190.47,602.54,3
103999,1175016.27,1883074.32,646.69,5
104211,1175016.31,1882524.94,593.16,2
104362,1175016.34,1882943.52,633.39,5
104709,1175016.41,1884708.32,631.33,6
104773,1175016.42,1884718.84,640.07,6
104877,1175016.44,1884835.53,590.45,2
105032,1175016.46,1883000.09,614.84,5
105333,1175016.51,1884939.24,637.9300000000001,5
105398,1175016.52,1884795.06,593.2,2
105483,1175016.53,1884669.61,592.03,2
105866,1175016.58,1882994.11,604.62,4
105921,1175016.59,1883703.49,599.25,3
105944,1175016.59,1882921.09,647.57,5
106072,1175016.61,1883710.82,593.4,2
106123,1175016.62,1884599.47,604.5500000000001,4
106135,1175016.62,1884189.03,594.96,3
106720,1175016.7,1884937.9000000001,637.45,5
106810,1175016.71,1884612.78,617.65,6
107146,1175016.75,1882929.62,610.26,4
107471,1175016.79,1882919.94,593.47,2
107516,1175016.8,1883552.31,603.77,6
107594,1175016.81,1883544.36,603.86,6
107597,1175016.81,1883494.62,606.54,6
108152,1175016.8900000001,1883380.04,605.82,4
108246,1175016.9000000001,1883078.54,649.1800000000001,5
108478,1175016.93,1883163.12,621.12,6
108565,1175016.94,1883039.22,662.9300000000001,5
108862,1175016.98,1883174.75,621.0,6
108972,1175016.99,1882514.4000000001,623.41,5
109024,1175017.0,1883499.68,595.89,3
109139,1175017.01,1882857.76,615.33,5
109168,1175017.02,1884197.74,596.23,3
109270,1175017.03,1883451.76,596.2,3
109481,1175017.06,1883518.6500000001,594.47,3
109848,1175017.12,1884714.9000000001,636.88,6
109881,1175017.12,1883481.9000000001,593.85,2
109903,1175017.12,1882874.29,646.91,5
109911,1175017.1300000001,1884875.8,591.28,2
110005,1175017.1400000001,1883768.32,623.12,6
110246,1175017.17,1883345.33,614.51,6
110316,1175017.18,1883185.81,609.77,4
110360,1175017.19,1884581.51,600.77,3
110446,1175017.2,1884708.56,631.37,6
110735,1175017.23,1882942.83,645.19,5
110913,1175017.26,1884927.26,632.6800000000001,5
111012,1175017.27,1884371.2,605.98,4
111454,1175017.32,1883078.9000000001,593.33,2
111603,1175017.34,1884078.44,592.53,2
111780,1175017.36,1882870.01,641.48,5
112589,1175017.46,1883669.82,595.37,3
112716,1175017.48,1884265.77,608.19,4
112815,1175017.49,1882987.83,593.2,2
113016,1175017.52,1884235.53,604.94,6
113064,1175017.53,1884604.12,617.57,6
113167,1175017.54,1883933.31,593.25,2
113367,1175017.57,1884004.06,593.72,3
113469,1175017.58,1883035.43,663.5600000000001,5
113504,1175017.59,1884486.8900000001,642.6,6
113791,1175017.6300000001,1884576.24,610.45,4
114225,1175017.69,1883866.27,592.6,2
114503,1175017.72,1882500.31,614.17,5
114524,1175017.73,1884361.03,644.0500000000001,5
114590,1175017.74,1884572.1300000001,599.39,3
114948,1175017.78,1883011.53,641.78,5
115139,1175017.81,1884860.06,591.65,2
115371,1175017.83,1883389.22,603.44,4
115464,1175017.84,1882818.08,594.0600000000001,2
115695,1175017.8800000001,1884357.21,634.69,5
115785,1175017.8900000001,1883662.6600000001,594.9300000000001,3
115994,1175017.92,1884362.7,642.77,5
116506,1175017.98,1883394.79,603.85,4
116593,1175017.99,1883388.9100000001,607.6800000000001,4
116875,1175018.02,1883671.69,594.95,3
117030,1175018.04,1884940.1500000001,635.7,5
117040,1175018.04,1884642.85,615.09,5
117488,1175018.08,1883028.86,628.08,5
117508,1175018.09,1884946.62,625.57,5
117579,1175018.09,1882900.25,643.37,5
117888,1175018.1300000001,1884374.52,614.91,5
